,selleraddress_raw
0,"Moosburgstrasse 12, 9200 Gossau"
1,"Hofwiesenstrasse 268, 8050 Zürich"
2,"Ueberlandstr. 34, 8051 Zürich/ Schwamendingen"
3,"Seetalstrasse 44, 6020 Emmenbrücke"
4,"Unterdorf 1, 8261 Hemishofen"
5,"Althardstrasse 302, 8105 Regensdorf"
6,"Hauptstrasse 13, 8583 Sulgen"
8,"UEBERLANDSTRASSE 100A, 8103 unterengstringen (fahrweid)"
9,"Zentralstrasse 9, 6036 Dierikon"
10,"Hauptstrasse 13, 8583 Sulgen"
11,"Neulandweg 12, 5502 Hunzenschwil"
12,"schützenmatt str 16, 6020 Emmenbrücke"
14,"Glatthaldestrasse 18a, 9230 Flawil"
15,"Zürcherstrasse 23, 8317 Tagelswangen-Lindau (Zürich)"
17,"Hauptstrasse 16, 5502 Hunzenschwil"
18,"Luzernerstrasse 172, 5054 Moosleerau"
19,"Mühlentalstrasse 261, 8200 Schaffhausen"
20,"Industriestrasse 6, 8604 Volketswil"
21,"Riedackerweg 14, 8107 Buchs"
22,"Glatthaldestrasse 18a, 9230 Flawil"
23,"Hönggerstrasse 36, 8103 Unterengstringen/ZH"
24,"Erlenstrasse 5, 8865 Bilten"
25,"Erlenstrasse 5, 8865 Bilten"
26,"Hauptstrasse 51, 6418 6418 Rothenthurm"
27,"industrie str 6, 8604 Volketswil"
28,"IFANGSTRASSE 12, 8603 SCHWERZENBACH"
29,"für besichtigung erst nachtelefonisch vereinbaren, 8105 regensdorf  zürich"
30,"Westring 9, 5502 Hunzenschwil"
31,"Mühlentalstrasse 261, 8200 Schaffhausen"
32,"Surhardweg 14, 5102 Rupperswil"
33,"Althardstrasse 257, 8105 Regensdorf"
35,"Hofstrasse 99, 8620 Wetzikon ZH"
36,"Feldstrasse 78, 8180 Bülach"
37,8134 Adliswil
38,"Fabrikstrasse 5, 8340 Hinwil"
39,"Frauenfelderstrasse 13, 8523 Hagenbuch"
40,"Althardstrasse 257, 8105 Regensdorf"
41,"Schlossstrasse 61, 8207 Schaffhausen"
42,"Cilanderstrasse 9, 9100 Herisau"
43,"Glatthaldestrasse 18a, 9230 Flawil"
44,"Industriestrasse 12, 6215 Beromünster"
45,"Mühlentalstrasse 261, 8200 Schaffhausen"
46,"Buchenhagstrasse 4, 8156 Oberhasli"
47,"Gotthardstrasse 17, 6414 Oberarth"
48,"Seetalstrasse 41a, 8280 Kreuzlingen"
49,"Pfäffikerstrasse 36, 8610 Uster ZH"
50,"Althardstrasse 302, 8105 Regensdorf"
51,"Luzernerstrasse 172, 5054 Moosleerau"
52,"Dällikerstrasse 39, 8107 Buchs"
53,"Nägeliweg 2, 5313 Klingnau"
54,"Buchenhagstrasse 18, 8156 Oberhasli"
55,"Bahnhofstrasse 13, 9553 Bettwiesen"
56,"Wenkenrütistrasse 12, 9630 Wattwil"
57,"Sornthalstrasse 9, 9213 Hauptwil"
58,8951 Fahrweid
59,"Aarauerstr. 39, 5734 Reinach"
60,"Flaachtalstrasse 9, 8412 Hünikon /Winterthur"
61,"Rütistrasse  17, 8734 Ermenswil"
62,"Wiesenstrasse 21, 5412 Gebenstorf AG"
63,"Sedelstrasse,7, 6020 Emmenbrücke  (KANTON LUZERN)"
64,"Hauptstrasse 51, 6418 6418 Rothenthurm"
65,"Ruessenstrasse 11, 6340 Baar"
66,"Rüeterswilerstrasse 43, 8735 St.Gallenkappel"
67,"Güterstrasse 58, 5605 Dottikon"
68,"Wenkenrütistrasse 12, 9630 Wattwil"
