web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,garantie_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
"1733581992-1","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-11930913","AUDI A1 Sportback 30 TFSI S Line","MMI Naviplus*Technikpaket*LED Scheinwerfer*Tempomat*etc.*","CHF 18'700.–","02.2020","02.2020","69'800 km","Schaltgetriebe manuell","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","4.8 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAbgedunkelte Seiten- und HeckscheibeAlu-Räder 7,5Jx18, 7-Speichen-Rotor-AmbientebeleuchtungAssist: Einparkhilfe hintenAudi Smartphone InterfaceAudi Sound SystemAudi connect (3 Jahre)Audi virtual cockpitAussenlackierung mit DachkuppelAussenspiegel in WagenfarbeArrow down iconMehr anzeigen","Garage Huber AG Feldmeilen","Seestrasse 269, 8706 Feldmeilen","http://www.garage-huber.com","Geschäft 044 924 10 00"
"1733581994-2","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11972939","AUDI A1 Sportback 30 TFSI Attraction","","CHF 25'400.–","04.2023","04.2023","17'300 km","Automat","Vorderradantrieb","Limousine","Benzin","110 PS (81 kW)","-","Ja","27.04.2023","Ja","Willkommen bei der AUTORAMA Wetzikon

Es freut uns, dass Sie sich für unser Angebot interessieren. Die Kundenzufriedenheit beim Fahrzeugkauf, sowie auch danach, ist unser grösstes Anliegen. ...","AusstattungenOptionale AusstattungAssist: Adaptiver GeschwindigkeitsassistentLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plus und SchaltwippenMittelarmlehne vorneRäder: Aluminium-Gussräder - 17 Zoll - im 5-V-Speichen-Design, kontrastgrau, teilpoliertSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsArrow down iconMehr anzeigen","Autorama AG","Buchgrindelstrasse 21, 8620 Wetzikon","http://www.autorama.ch","Geschäft 044 931 50 50"
"1733581996-3","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-35-tfsi-s-line-11304518","AUDI A1 Sportback 35 TFSI S Line","","CHF 26'900.–","05.2020","05.2020","77'000 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","7.1 l/100 km","Ja","23.02.2024","Ja","sehr Gepflegtes Fahrzeug neu ab MFK + Service . CH Fahrzeug mit gratis service bis Km. 100.000 + 24 Monate Garantie","AusstattungenOptionale AusstattungAbgedunkelte Seiten- und HeckscheibeAdaptive cruise controlAlu-Räder 7,5Jx17 5-Arm-DesignAlu-Räder 7,5Jx18, 7-Speichen-Rotor-AmbientebeleuchtungAssist: Einparkhilfe plusAssist: RückfahrkameraAudi connect (3 Jahre)Aussenlackierung mit DachkuppelGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Arrow down iconMehr anzeigen","Auto-Occasionen Franco Todaro AG","Wülflingerstrasse 393, 8408 Winterthur","http://www.autooccasion-todaro.ch","Mobil 076 420 42 99"
"1733581999-4","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-11736787","AUDI A1 Sportback 30 TFSI advanced","Neuwertiges Fahrzeug, Audi Werksgarantie 4Jahre oder 80`000KM, Virtual Cockpit, LED Scheinwerfer, 2 Zonen Klima, etc....","CHF 22'999.–","06.2023","06.2023","7'000 km","Halbautomatisches Getriebe","Vorderradantrieb","Kleinwagen","Benzin","110 PS (81 kW)","5.8 l/100 km","Ja","07.08.2024","Ja","6XD Außenspiegel elektr. verstell- und heizbar, 6H4 Dachkuppel Kontrastfarbe, PX2 Scheinwerfer LED!, EL1 Audi connect (Remote / Control), UI2 Audi Smartphone Interface, 8T6 Geschwindigkeits-Regelanlage ...","AusstattungenOptionale AusstattungAssist: BerganfahrassistentAssist: GeschwindigkeitsregelanlageAssist: SpurwechselwarnungAudi virtual cockpitDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederKlima: 2-Zonen-KomfortklimaautomatikLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtMedia: Audi Smartphone InterfaceMittelarmlehne vorneArrow down iconMehr anzeigen","Auto Luzern GmbH","Sternmattweg 1, 6010 Kriens","http://www.autoluzern.ch","Geschäft 041 320 19 19"
"1733582001-5","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-14-tfsi-sport-automat-11753941","AUDI A1 Sportback 1.4 TFSI Sport (Automat)","Gepflegtes CH-Fahrzeug, aus 1. Hand, ab MFK 08.2024 & ab Service, Automat, 8-fach bereift, Autopark Hegnau AG, 044 946 36 36","CHF 18'900.–","04.2018","04.2018","79'980 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","150 PS (110 kW)","4.8 l/100 km","Ja","21.08.2024","Ja","Herzlich willkommen im AUTOPARK HEGNAU

Besten Dank für Ihr Interesse an unseren Fahrzeugen.

Unser kompetentes Verkaufspersonal freut sich, Sie persönlich, telefonisch oder per Mail ...","AusstattungenOptionale AusstattungAirbag: Airbag Beifahrer deaktivierbarAlu-Räder 7.5J x 17 im 5-Speichen-DesignEinparkhilfe vorne und hintenGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Infotainment PaketAudi Sound SystemAudi connectFahrer-InformationssystemMMI Navigationssystem PlusMedia: Audi Phone BoxMedia: Audi music interfaceMetallic-LackierungPaket TechnikKomfortschlüssel ohne Safe-FunktionSitze: Vordersitze heizbarXenon Plus-Lichtanlage inkl. LEDS Line SportpaketAluminium-ApplikationenAusströmermanschettenDachhimmel schwarzEinstiegsschienen mit LogoLeichtmetallräder im 10-Speichen-DesignMultifunktions-SportlederlenkradS line Stoff-/LederS-Line SportfahrwerkSportsitze vorneS line ExterieurpaketSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenArrow down iconMehr anzeigen","Autopark Hegnau AG","Büelstrasse 44, 8604 Hegnau / Volketswil","http://www.autopark-hegnau.ch","Geschäft 044 946 36 36"
"1733582004-6","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-allstreet-30-tfsi-attraction-s-tronic-11870291","AUDI A1 allstreet 30 TFSI Attraction S-tronic","***Navigation, Rückfahrkamera, Parksensoren vorne/hinten, LED-Scheinwerfer, Vordersitze heizbar, Mittelarmlehne vorne***","CHF 28'900.–","Neues Fahrzeug","Neues Fahrzeug","15 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","6 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: Kontrastpaket 1Paket: Optikpaket schwarzSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarArrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
"1733582006-7","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11889167","AUDI A1 Sportback 30 TFSI Attraction","***Geschwindigkeitsregelanlage, Navigation, Vordersitze heizbar, LED-Scheinwerfer, Gepäckraumpaket***","CHF 24'900.–","Neues Fahrzeug","Neues Fahrzeug","15 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.5 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungMittelarmlehne vorneSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsAssist: Ablenkungs- und MüdigkeitserkennungAssist: Audi pre sense frontAssist: BerganfahrassistentArrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
"1733582009-8","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-20-tdi-s-line-ambition-11888928","AUDI A1 Sportback 2.0 TDI S-Line Ambition","Top gepflegtes CH-Fahrzeug ab MFK + Service inkl. 12 Monate Garantie. "" Top Ausstattung ""","CHF 12'900.–","10.2014","10.2014","124'500 km","Schaltgetriebe manuell","Vorderradantrieb","Kleinwagen","Diesel","143 PS (105 kW)","4.1 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungAbgedunkelte Seiten- und HeckscheibeAdvance PaketAblagenpaketAussenspiegel rechts und linksBordcomputerLED InnenlichtpaketLicht- und RegensensorMittelarmlehne vorneMultifunktionsanzeigePark Distance Control hintenTempomatBerganfahrassistentConnectivity PaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleVorbereitung NavigationssystemDachhimmel schwarzFrontscheibe mit Color-BandLicht-, Regensensor, FernlichtassistentLicht: LED HeckleuchtenMetallic-LackierungPark Distance Control vorne und hintenArrow down iconMehr anzeigen","Auto Züri-Oberland","Wässeristrasse 12, 8340 Hinwil","http://www.a-z-o.ch","Geschäft 044 938 37 47"
"1733582011-9","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11959498","AUDI A1 Sportback 30 TFSI Attraction","***Geschwindigkeitsregelanlage, Navigation, LED-Scheinwerfer, Vordersitze heizbar, Mittelarmlehne vorne, Audi Sound System***","CHF 25'900.–","Neues Fahrzeug","Neues Fahrzeug","15 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.5 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungMittelarmlehne vorneSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsAssist: Ablenkungs- und MüdigkeitserkennungAssist: Audi pre sense frontAssist: BerganfahrassistentArrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
"1733582014-10","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=30&pagination%5Bpage%5D=10","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11962199","AUDI A1 Sportback 30 TFSI Attraction","***Geschwindigkeitsregelanlage, Navigation, LED-Scheinwerfer, Vordersitze heizbar, Mittelarmlehne vorne, Audi Sound System***","CHF 27'900.–","Neues Fahrzeug","Neues Fahrzeug","15 km","Automat","Vorderradantrieb","Kleinwagen","Benzin","115 PS (85 kW)","5.5 l/100 km","Ja","Nein","Ja","","AusstattungenOptionale AusstattungMittelarmlehne vorneSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsAssist: Ablenkungs- und MüdigkeitserkennungAssist: Audi pre sense frontAssist: BerganfahrassistentArrow down iconMehr anzeigen","Heinz Stern AG","Baumastrasse-für Navi ""In der Mettlen 3"" eingeben, 8344 Bäretswil","http://www.heinzstern.ch","Geschäft 044 939 90 10"
