web-scraper-order,title_raw,price_raw,mileage_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,seller_raw,selleraddress_raw,model,price,mileage,fuel_consumption,ps,sportcar,mileage_cat,ps_cat,ps_cat2,fuel_consumption_cat,price_cat
1734006862-1,AUDI A4 Avant 40 TDI quattro S-tronic,CHF 21'999.–,136'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),6.1 l/100 km,uniAuto AG,"Moosburgstrasse 12, 9200 Gossau",Avant 40 TDI quattro S-tronic,21999,136000,6.1,190,1,100000 - 149999,150-199,medium,6.00-6.99,20000-29999
1734006865-2,AUDI A4 Avant 1.4 TFSI Sport S-Tronic,CHF 21'990.–,79'116 km,Vorderradantrieb,Kombi,Benzin,150 PS (110 kW),5.5 l/100 km,Allenmoos Garage GmbH,"Hofwiesenstrasse 268, 8050 Zürich",Avant 1.4 TFSI Sport S-Tronic,21990,79116,5.5,150,1,50000 - 990000,100-149,medium,5.00-5.99,20000-29999
1734006867-3,AUDI A4 Cabriolet 1.8 Turbo,CHF 7'900.–,100'000 km,Vorderradantrieb,Cabriolet,Benzin,163 PS (120 kW),8.7 l/100 km,Bruno Keller,"Ueberlandstr. 34, 8051 Zürich/ Schwamendingen",Cabriolet 1.8 Turbo,7900,100000,8.7,163,1,50000 - 990000,150-199,medium,8.00-8.99,0 - 9999
1734006869-4,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,CHF 13'900.–,218'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),4.5 l/100 km,PTE GmbH,"Seetalstrasse 44, 6020 Emmenbrücke",Avant 2.0 TDI Sport quattro S-tronic,13900,218000,4.5,190,1,200000-249999,150-199,medium,4.00-4.99,10000-19999
1734006872-5,AUDI A4 Avant 40 TDI Sport quattro S-tronic,CHF 27'800.–,107'000 km,Allrad,Kombi,Diesel,190 PS (140 kW),5 l/100 km,Garage Gfeller GmbH,"Unterdorf 1, 8261 Hemishofen",Avant 40 TDI Sport quattro S-tronic,27800,107000,5.0,190,1,100000 - 149999,150-199,medium,4.00-4.99,20000-29999
1734006874-6,AUDI A4 Cabriolet 3.0 V6,CHF 4'900.–,154'000 km,Vorderradantrieb,Cabriolet,Benzin,220 PS (162 kW),10 l/100 km,A. Mezaourou,"Althardstrasse 302, 8105 Regensdorf",Cabriolet 3.0 V6,4900,154000,10.0,220,0,150000-199999,200-249,fast,9.00-9.99,0 - 9999
1734006876-7,AUDI A4 Avant 2.0 Turbo FSI quattro,CHF 2'900.–,276'000 km,Allrad,Kombi,Benzin,200 PS (147 kW),9.1 l/100 km,Autozentrum Sulgerhof GmbH,"Hauptstrasse 13, 8583 Sulgen",Avant 2.0 Turbo FSI quattro,2900,276000,9.1,200,1,250000-299999,150-199,medium,9.00-9.99,0 - 9999
1734006881-9,"AUDI Ab 2,7 tdi",CHF 1'600.–,289'982 km,Allrad,Kombi,Benzin,255 PS (188 kW),10.8 l/100 km,DADA Einkauf und Verkauf,"UEBERLANDSTRASSE 100A, 8103 unterengstringen (fahrweid)","AUDI Ab 2,7 tdi",1600,289982,10.8,255,0,250000-299999,250-299,fast,10.00-10.99,0 - 9999
1734006886-10,AUDI A4 3.0 V6 quattro,CHF 2'200.–,285'314 km,Allrad,Limousine,Benzin,220 PS (162 kW),11.2 l/100 km,Mourad Autohandel,"Zentralstrasse 9, 6036 Dierikon",3.0 V6 quattro,2200,285314,11.2,220,0,250000-299999,200-249,fast,11.00-11.99,0 - 9999
1734006888-11,AUDI A4 Avant 2.0 TDI,CHF 3'900.–,400'000 km,Vorderradantrieb,Kombi,Diesel,170 PS (125 kW),5.5 l/100 km,Autozentrum Sulgerhof GmbH,"Hauptstrasse 13, 8583 Sulgen",Avant 2.0 TDI,3900,400000,5.5,170,0,350000-399999,150-199,medium,5.00-5.99,0 - 9999
