web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,short_description_raw,price_raw,car_data_raw,first_release_raw,mileage_raw,transmission_raw,drive_raw,cartype_raw,fuel_raw,ps_raw,fuel_consumption_raw,motor_vehicle_inspection_raw,accidentcar_raw,guarantee_raw,car_description_raw,equipment_raw,seller_raw,selleraddress_raw,sellerwebsite_raw,seller_phonenumber_raw
1734006862-1,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-quattro-s-tronic-11741176,AUDI A4 Avant 40 TDI quattro S-tronic,// Kundenauftrag 079 887 62 06 // CH-Fahrzeug // Frisch ab MFK // 8-Fachbereift // Anhängerkupplung 1800 Kg //,CHF 21'999.–,Calendar icon10.2019Car iconKombiRoad icon136'000 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconAllradConsumption icon6.1 l/100 kmD,10.2019,136'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,190 PS (140 kW),6.1 l/100 km,Ja,Nein,Nein,Kundenauftrag 079 887 62 06,AusstattungenOptionale AusstattungAdBlue Behälter mit grösserem VolumenAmbientebeleuchtungAnhängevorrichtung abschwenkbarArmlehne vorne mit AblagefachAssist: Audi hold assistAssist: Kamerabasierte VerkehrszeichenerkennungAssist: RückfahrkameraAssistenzpaket TourAudi virtual cockpitGetönte Scheiben PrivacyArrow down iconMehr anzeigen,uniAuto AG,"Moosburgstrasse 12, 9200 Gossau",,Verkauf 078 883 55 87
1734006865-2,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-avant-14-tfsi-sport-s-tronic-11923756,AUDI A4 Avant 1.4 TFSI Sport S-Tronic,Im Kundenauftrag zu verkaufen!,CHF 21'990.–,Calendar icon07.2018Car iconKombiRoad icon79'116 kmGas station iconBenzinTransmission iconHalbautomatisches GetriebeVehicle power icon150 PS (110 kW)Drive type iconVorderradantriebConsumption icon5.5 l/100 kmC,07.2018,79'116 km,Halbautomatisches Getriebe,Vorderradantrieb,Kombi,Benzin,150 PS (110 kW),5.5 l/100 km,Ja,01.07.2018,Nein,Im Kundenauftrag zu verkaufen!,AusstattungenOptionale AusstattungAudi smartphone interfaceAudi virtual cockpitDachhimmel schwarz/ StoffKlimaautomat plus 3-ZonenKomfort-Mittelarmlehne vorneLendenwirbelstützen elektr. für VordersitzeMMI Navigation plusMetallic-LackierungMultifunktions-Ledersportlenkrad 3-SpeichenPack LichtAmbientebeleuchtungBeleuchtete TüröffnerBeleuchtetes AblagefachEinstiegsbeleuchtungFussraumbeleuchtungArrow down iconMehr anzeigen,Allenmoos Garage GmbH,"Hofwiesenstrasse 268, 8050 Zürich",,Geschäft 044 311 62 63
1734006867-3,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-cabriolet-18-turbo-12022583,AUDI A4 Cabriolet 1.8 Turbo,,CHF 7'900.–,Calendar icon08.2003Car iconCabrioletRoad icon100'000 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon163 PS (120 kW)Drive type iconVorderradantriebConsumption icon8.7 l/100 kmG,08.2003,100'000 km,Schaltgetriebe manuell,Vorderradantrieb,Cabriolet,Benzin,163 PS (120 kW),8.7 l/100 km,Ja,28.11.2024,Nein,,AusstattungenOptionale Ausstattung6-Stufen-Automat MultitronicSerienmässige Ausstattung5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAlu-Räder 7Jx16J 7-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Applikationen glänzendAssist: Bremsassistent (BAS)Aussenspiegel rechts und links beheiztArrow down iconMehr anzeigen,Bruno Keller,"Ueberlandstr. 34, 8051 Zürich/ Schwamendingen",,Mobil 079 441 71 24
1734006869-4,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-tdi-sport-quattro-s-tronic-12026432,AUDI A4 Avant 2.0 TDI Sport quattro S-tronic,,CHF 13'900.–,Calendar icon12.2017Car iconKombiRoad icon218'000 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconAllradConsumption icon4.5 l/100 kmB,12.2017,218'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,190 PS (140 kW),4.5 l/100 km,Ja,23.08.2023,Nein,Top zustand Autobahn Kilometer,"AusstattungenOptionale AusstattungAlu-Räder 5-Parallelspeichen 7,5x17JAssist: RückfahrkameraAssistenzpaket Stadt + ParkenAssist: Einparkhilfe plusAudi side assist inkl. pre sense rearUmgebungskameras + ParklenkassistentVerkehrsschild-ErkennungssystemAussenspiegel rechts und links beheizt,Dachhimmel schwarzDekor: Bedienelemente Audi Exclusiv-LederErweiterte Leder-AusstattungHead-Up DisplayInfotainment PaketAudi Sound SystemAudi connectMMI Navigationssystem PlusMedia: Audi Phone Box inkl.LTEMultifunktionslenkradKomfortpaket AvantAssist: RückfahrkameraArrow down iconMehr anzeigen",PTE GmbH,"Seetalstrasse 44, 6020 Emmenbrücke",,Geschäft 041 260 45 70
1734006872-5,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-avant-40-tdi-sport-quattro-s-tronic-12041318,AUDI A4 Avant 40 TDI Sport quattro S-tronic,Sehr gepflegtes Fahrzeug,CHF 27'800.–,Calendar icon08.2019Car iconKombiRoad icon107'000 kmGas station iconDieselTransmission iconHalbautomatisches GetriebeVehicle power icon190 PS (140 kW)Drive type iconAllradConsumption icon5 l/100 km,08.2019,107'000 km,Halbautomatisches Getriebe,Allrad,Kombi,Diesel,190 PS (140 kW),5 l/100 km,Ja,Nein,Ja,"Vielen Dank für Ihr Interesse an unserem Fahrzeug. Gerne begrüssen wir Sie persönlich bei uns in Hemishofen oder stehen Ihnen per Mail oder Telefon für Auskünfte zur Verfügung.

Besichtigung/Probefahrt: ...","AusstattungenOptionale AusstattungAblagenpaketAmbientebeleuchtungArmlehne vorne mit AblagefachAssist: Audi hold assistAssist: ParklenkassistentAssistenzpaket Stadt + ParkenAssist: AusstiegswarnungAssist: Einparkhilfe plusAssist: Querverkehrsassistent hintenAudi pre sense basicAudi side assist inkl. pre sense rearUmgebungskameras + ParklenkassistentAssistenzpaket TourAdaptive cruise controlAssist: Audi active lane assistVerkehrszeichenerkennung RSIAudi Smartphone InterfaceAudi connect (3 Jahre)Audi virtual cockpit 12,3''Arrow down iconMehr anzeigen",Garage Gfeller GmbH,"Unterdorf 1, 8261 Hemishofen",,Geschäft 052 741 19 53
1734006874-6,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-cabriolet-30-v6-11776484,AUDI A4 Cabriolet 3.0 V6,Cabriolet funktioniert nicht.,CHF 4'900.–,Calendar icon05.2002Car iconCabrioletRoad icon154'000 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon220 PS (162 kW)Drive type iconVorderradantriebConsumption icon10 l/100 kmG,05.2002,154'000 km,Schaltgetriebe manuell,Vorderradantrieb,Cabriolet,Benzin,220 PS (162 kW),10 l/100 km,Nein,28.10.2022,Nein,Cabriolet funktioniert nicht.,AusstattungenOptionale Ausstattung6-Stufen-Automat MultitronicMetallic-LackierungPaket Nappalederausstattung/VordersitzeNappa-Leder-AusstattungSitze: Vordersitze heizbarVordersitze heizbarSerienmässige Ausstattung5-Gang-GetriebeAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAlu-Räder 7Jx16J 7-Arm-DesignAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Arrow down iconMehr anzeigen,A. Mezaourou,"Althardstrasse 302, 8105 Regensdorf",,Geschäft 079 937 88 57
1734006876-7,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-a4-avant-20-turbo-fsi-quattro-11807273,AUDI A4 Avant 2.0 Turbo FSI quattro,,CHF 2'900.–,Calendar icon02.2005Car iconKombiRoad icon276'000 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon200 PS (147 kW)Drive type iconAllradConsumption icon9.1 l/100 kmG,02.2005,276'000 km,Schaltgetriebe manuell,Allrad,Kombi,Benzin,200 PS (147 kW),9.1 l/100 km,Nein,Nein,Nein,,AusstattungenSerienmässige Ausstattung3 Kopfstützen hintenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7Jx16 9-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,Autozentrum Sulgerhof GmbH,"Hauptstrasse 13, 8583 Sulgen",,Geschäft 071 460 17 77
1734006879-8,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-avant-8-tfsi-11940225,"AUDI Avant ,8 tfsi",,CHF 3'490.–,Calendar icon09.2009Car iconKombiRoad icon220'946 kmGas station iconBenzinTransmission iconAutomatVehicle power icon-Drive type icon-Consumption icon-,09.2009,220'946 km,Automat,-,Kombi,Benzin,-,-,Nein,Nein,Nein,Auto läuft gut,,DADA Einkauf und Verkauf,"UEBERLANDSTRASSE 100A, 8103 unterengstringen (fahrweid)",,Geschäft 079 865 11 66
1734006881-9,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=20,,https://www.autoscout24.ch/de/d/audi-ab-2-7-tdi-11711125,"AUDI Ab 2,7 tdi",,CHF 1'600.–,Calendar icon07.2006Car iconKombiRoad icon289'982 kmGas station iconBenzinTransmission iconAutomatVehicle power icon255 PS (188 kW)Drive type iconAllradConsumption icon10.8 l/100 kmG,07.2006,289'982 km,Automat,Allrad,Kombi,Benzin,255 PS (188 kW),10.8 l/100 km,Nein,04.07.2006,Nein,Auto läuft gut,AusstattungenSerienmässige Ausstattung3 Kopfstützen hintenAirbag: Airbag Fahrer und BeifahrerAirbag: Window-KopfairbagsAktive KopfstützenAllradantrieb permanentAlu-Räder 7Jx16 9-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Aschenbecher und ZigarettenanzünderArrow down iconMehr anzeigen,DADA Einkauf und Verkauf,"UEBERLANDSTRASSE 100A, 8103 unterengstringen (fahrweid)",,Geschäft 079 865 11 66
1734006886-10,https://www.autoscout24.ch/de/s/mo-a4/mk-audi?geoLocation%5Bid%5D=geo-canton-zurich&geoLocation%5Bradius%5D=10&pagination%5Bpage%5D=19,,https://www.autoscout24.ch/de/d/audi-a4-30-v6-quattro-11917273,AUDI A4 3.0 V6 quattro,,CHF 2'200.–,Calendar icon09.2001Car iconLimousineRoad icon285'314 kmGas station iconBenzinTransmission iconSchaltgetriebe manuellVehicle power icon220 PS (162 kW)Drive type iconAllradConsumption icon11.2 l/100 kmG,09.2001,285'314 km,Schaltgetriebe manuell,Allrad,Limousine,Benzin,220 PS (162 kW),11.2 l/100 km,Nein,23.04.2021,Nein,Das auto befinde sich technisch und optisch in einem guten Zustand,"AusstattungenOptionale Ausstattung3 Speichen-Sportlenkrad4 Leichtmetallfelgen 18J mit PneuAirbag Beifahrer deaktivierbarAirbag: Seitenairbags hinten mit Window-KopfairbagsAluminium-ApplikationenAussenspiegel elektrisch verstellbar mitAussenspiegel rechts und links beheizt,Aussenspiegel rechts und links beheizt, elektrisch verstell- / und einklappbarCD-WechslerDiebstahlwarnanlage mit Innenraum-Arrow down iconMehr anzeigen",Mourad Autohandel,"Zentralstrasse 9, 6036 Dierikon",,Geschäft 079 341 88 62
